cdImageLink,cdTitle,description,cdType,coupValue,actionUrl,expiryDate,parentStoreName,ranking,metaKeywords,metaDiscriptions,couponSideValue,featuredOnHome,parentCategory,submitedBy,usedBY,rating,likes,dislikes
ZAActiveStorage_VS/coupon.webp,$5 Off Any Order,NA,coupon,ALI567,https://coupongini.digidip.net/visit?url=https%3A%2F%2Fwww.aliexpress.com%2F,31/12/21,aliexpress,10,NA,NA,$5 Off,FALSE,fashion,NA,1229,4.1,10,1
ZAActiveStorage_VS/coupon.webp,Save 30% Off w/ Promo Code,NA,coupon,BRTOPDEAL3,https://coupongini.digidip.net/visit?url=https%3A%2F%2Fwww.aliexpress.com%2F,31/12/21,aliexpress,10,NA,NA,30% Off,FALSE,fashion,NA,1240,4.1,10,1
ZAActiveStorage_VS/coupon.webp,Save 75% Off,NA,coupon,HU5WKCA64OM9,https://coupongini.digidip.net/visit?url=https%3A%2F%2Fwww.aliexpress.com%2F,31/12/21,aliexpress,10,NA,NA,75% Off,FALSE,fashion,NA,1251,4.1,10,1
ZAActiveStorage_VS/deal.webp,Up To 50% Off Home Improvement and Tools,NA,deal,NA,https://coupongini.digidip.net/visit?url=https%3A%2F%2Fwww.aliexpress.com%2F,31/12/21,aliexpress,10,NA,NA,50% Off,FALSE,fashion,NA,1262,4.1,10,1
ZAActiveStorage_VS/deal.webp,Up To 50% Off Home Decor,NA,deal,NA,https://coupongini.digidip.net/visit?url=https%3A%2F%2Fwww.aliexpress.com%2F,31/12/21,aliexpress,10,NA,NA,50% Off,FALSE,fashion,NA,1273,4.1,10,1
ZAActiveStorage_VS/deal.webp,Up To 50% Off Sale Items,NA,deal,NA,https://coupongini.digidip.net/visit?url=https%3A%2F%2Fwww.aliexpress.com%2F,31/12/21,aliexpress,10,NA,NA,50% Off,FALSE,fashion,NA,1284,4.1,10,1
ZAActiveStorage_VS/deal.webp,Up To 60% Off Dolls,NA,deal,NA,https://coupongini.digidip.net/visit?url=https%3A%2F%2Fwww.aliexpress.com%2F,31/12/21,aliexpress,10,NA,NA,60% Off,FALSE,fashion,NA,1295,4.1,10,1
ZAActiveStorage_VS/coupon.webp,$399 Of FREE Accessories With Every Mattress,NA,coupon,sleepbundle,https://track.flexlinkspro.com/g.ashx?foid=156074.8338.490251&trid=1241732.201228&foc=16&fot=9999&fos=5,31/12/21,nectar,10,NA,NA,$399 Off,FALSE,fashion,NA,1306,4.1,10,1
ZAActiveStorage_VS/coupon.webp,$100 Off All Orders,NA,coupon,NEWNECTAR,https://track.flexlinkspro.com/g.ashx?foid=156074.8338.490251&trid=1241732.201228&foc=16&fot=9999&fos=5,29/07/21,nectar,10,NA,NA,$100 Off,FALSE,fashion,NA,1317,4.1,10,1
ZAActiveStorage_VS/coupon.webp,NectarSleep.Com Discount Code: Get $125 Off Mattress,NA,coupon,BF125,https://track.flexlinkspro.com/g.ashx?foid=156074.8338.490251&trid=1241732.201228&foc=16&fot=9999&fos=5,26/06/21,nectar,10,NA,NA,$125 Off,FALSE,fashion,NA,1328,4.1,10,1
